customer_id,risk_score,risk_label,batch_run_at,eligible_expand
C001,0.026145286046188414,LOW,2026-05-16T05:09:57.751933+00:00,1
C002,0.039590924000478124,LOW,2026-05-16T05:09:57.751933+00:00,1
C003,0.017471535845938753,LOW,2026-05-16T05:09:57.751933+00:00,1
C004,0.035318706718813556,LOW,2026-05-16T05:09:57.751933+00:00,1
C005,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C006,0.9241308164795682,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C007,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C008,0.050021042315390785,LOW,2026-05-16T05:09:57.751933+00:00,1
C009,0.10947299058089435,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C010,0.9092123669710434,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C011,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C012,0.044901899246003275,LOW,2026-05-16T05:09:57.751933+00:00,1
C013,0.9434471516250692,HIGH,2026-05-16T05:09:57.751933+00:00,0
C014,0.13566646300739385,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C015,0.05885573255614033,LOW,2026-05-16T05:09:57.751933+00:00,1
C016,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C017,0.04811313266003681,LOW,2026-05-16T05:09:57.751933+00:00,1
C018,0.12891353510012263,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C019,0.12311692268536936,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C020,0.09491950844576462,LOW,2026-05-16T05:09:57.751933+00:00,1
C021,0.9765768707829615,HIGH,2026-05-16T05:09:57.751933+00:00,0
C022,0.01253999325230744,LOW,2026-05-16T05:09:57.751933+00:00,1
C023,0.01826642757479694,LOW,2026-05-16T05:09:57.751933+00:00,1
C024,0.009637926480629146,LOW,2026-05-16T05:09:57.751933+00:00,1
C025,0.052661786388473325,LOW,2026-05-16T05:09:57.751933+00:00,1
C026,0.016360215338966373,LOW,2026-05-16T05:09:57.751933+00:00,1
C027,0.981079838797437,HIGH,2026-05-16T05:09:57.751933+00:00,0
C028,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C029,0.9773384406534082,HIGH,2026-05-16T05:09:57.751933+00:00,0
C030,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C031,0.9626465098015397,HIGH,2026-05-16T05:09:57.751933+00:00,0
C032,0.009926377711032677,LOW,2026-05-16T05:09:57.751933+00:00,1
C033,0.028010401424692286,LOW,2026-05-16T05:09:57.751933+00:00,1
C034,0.1069166252511658,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C035,0.041013726282039226,LOW,2026-05-16T05:09:57.751933+00:00,1
C036,0.09374586778222652,LOW,2026-05-16T05:09:57.751933+00:00,1
C037,0.9999,HIGH,2026-05-16T05:09:57.751933+00:00,0
C038,0.06275399784245461,LOW,2026-05-16T05:09:57.751933+00:00,1
C039,0.09999539081302639,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C040,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C041,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C042,0.0593331647873687,LOW,2026-05-16T05:09:57.751933+00:00,1
C043,0.0016867794892456438,LOW,2026-05-16T05:09:57.751933+00:00,1
C044,0.0222979869615831,LOW,2026-05-16T05:09:57.751933+00:00,1
C045,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C046,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C047,0.08889068068854526,LOW,2026-05-16T05:09:57.751933+00:00,1
C048,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C049,0.08616536321756088,LOW,2026-05-16T05:09:57.751933+00:00,1
C050,0.03679252168817538,LOW,2026-05-16T05:09:57.751933+00:00,1
C051,0.8833384945683597,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C052,0.9394422729550568,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C053,0.014662548360203573,LOW,2026-05-16T05:09:57.751933+00:00,1
C054,0.996997832983031,HIGH,2026-05-16T05:09:57.751933+00:00,0
C055,0.02651290981854297,LOW,2026-05-16T05:09:57.751933+00:00,1
C056,0.04920661267738285,LOW,2026-05-16T05:09:57.751933+00:00,1
C057,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C058,0.9999,HIGH,2026-05-16T05:09:57.751933+00:00,0
C059,0.04353233049843688,LOW,2026-05-16T05:09:57.751933+00:00,1
C060,0.04140116404559466,LOW,2026-05-16T05:09:57.751933+00:00,1
C061,0.9411334725500669,HIGH,2026-05-16T05:09:57.751933+00:00,0
C062,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C063,0.15406799083682243,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C064,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C065,0.01621935279174747,LOW,2026-05-16T05:09:57.751933+00:00,1
C066,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C067,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C068,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C069,0.019967389969461,LOW,2026-05-16T05:09:57.751933+00:00,1
C070,0.035894437953023474,LOW,2026-05-16T05:09:57.751933+00:00,1
C071,0.8503721507393329,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C072,0.9606773395764076,HIGH,2026-05-16T05:09:57.751933+00:00,0
C073,0.08866337715730482,LOW,2026-05-16T05:09:57.751933+00:00,1
C074,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C075,0.07939018476159707,LOW,2026-05-16T05:09:57.751933+00:00,1
C076,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C077,0.0001,LOW,2026-05-16T05:09:57.751933+00:00,1
C078,0.017176238999430663,LOW,2026-05-16T05:09:57.751933+00:00,1
C079,0.0005165422297574518,LOW,2026-05-16T05:09:57.751933+00:00,1
C080,0.06759330971069928,LOW,2026-05-16T05:09:57.751933+00:00,1
C081,0.1296091936294859,MEDIUM,2026-05-16T05:09:57.751933+00:00,0
C082,0.05189134688299389,LOW,2026-05-16T05:09:57.751933+00:00,1
C083,0.08575487233654229,LOW,2026-05-16T05:09:57.751933+00:00,1
C084,0.9999,HIGH,2026-05-16T05:09:57.751933+00:00,0
C085,0.04813352400827929,LOW,2026-05-16T05:09:57.751933+00:00,1
C086,0.9999,HIGH,2026-05-16T05:09:57.751933+00:00,0
